
Inn,Score,Out,RoB,Pit(cnt)Sequence,R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
Top of the 1st Braves Batting Tied 0-0 Nationals' Doug Fister facing 1-2-3,Top of the 1st Braves Batting Tied 0-0 Nationals' Doug Fister facing 1-2-3,Top of the 1st Braves Batting Tied 0-0 Nationals' Doug Fister facing 1-2-3,Top of the 1st Braves Batting Tied 0-0 Nationals' Doug Fister facing 1-2-3,Top of the 1st Braves Batting Tied 0-0 Nationals' Doug Fister facing 1-2-3,Top of the 1st Braves Batting Tied 0-0 Nationals' Doug Fister facing 1-2-3,Top of the 1st Braves Batting Tied 0-0 Nationals' Doug Fister facing 1-2-3,Top of the 1st Braves Batting Tied 0-0 Nationals' Doug Fister facing 1-2-3,Top of the 1st Braves Batting Tied 0-0 Nationals' Doug Fister facing 1-2-3,Top of the 1st Braves Batting Tied 0-0 Nationals' Doug Fister facing 1-2-3,Top of the 1st Braves Batting Tied 0-0 Nationals' Doug Fister facing 1-2-3,Top of the 1st Braves Batting Tied 0-0 Nationals' Doug Fister facing 1-2-3
b5,6-0,1,-2-,2(1-0) BX,O,WSN,I. Desmond,D. Aardsma,-0%,98%,Groundout: 1B unassisted (Weak 1B); Robinson to 3B
b5,6-0,2,--3,6(3-2) BBFBSB,,WSN,T. Moore,D. Aardsma,0%,98%,Walk
b5,6-0,2,1-3,3(1-1) CBX,O,WSN,M. Taylor,D. Aardsma,-0%,98%,Groundout: 3B-2B/Forceout at 2B (SS-3B Hole)
,,,,,,,,,0 runs 1 hit 0 errors 2 LOB. Braves 0 Nationals 6.,0 runs 1 hit 0 errors 2 LOB. Braves 0 Nationals 6.,0 runs 1 hit 0 errors 2 LOB. Braves 0 Nationals 6.
Top of the 6th Braves Batting Behind 0-6 Nationals' Doug Fister facing 1-2-3,Top of the 6th Braves Batting Behind 0-6 Nationals' Doug Fister facing 1-2-3,Top of the 6th Braves Batting Behind 0-6 Nationals' Doug Fister facing 1-2-3,Top of the 6th Braves Batting Behind 0-6 Nationals' Doug Fister facing 1-2-3,Top of the 6th Braves Batting Behind 0-6 Nationals' Doug Fister facing 1-2-3,Top of the 6th Braves Batting Behind 0-6 Nationals' Doug Fister facing 1-2-3,Top of the 6th Braves Batting Behind 0-6 Nationals' Doug Fister facing 1-2-3,Top of the 6th Braves Batting Behind 0-6 Nationals' Doug Fister facing 1-2-3,Top of the 6th Braves Batting Behind 0-6 Nationals' Doug Fister facing 1-2-3,Top of the 6th Braves Batting Behind 0-6 Nationals' Doug Fister facing 1-2-3,Top of the 6th Braves Batting Behind 0-6 Nationals' Doug Fister facing 1-2-3,Top of the 6th Braves Batting Behind 0-6 Nationals' Doug Fister facing 1-2-3
t6,0-6,0,---,6(3-2) BBBCFX,O,ATL,J. Peterson,D. Fister,1%,98%,Lineout: CF (Short CF)
t6,0-6,1,---,4(1-2) CFBX,,ATL,C. Maybin,D. Fister,-1%,98%,Double to LF (Line Drive to Deep LF)
t6,0-6,1,-2-,3(1-1) BCX,O,ATL,N. Markakis,D. Fister,1%,98%,Flyball: RF (Short RF)
t6,0-6,2,-2-,8(2-2) CBFFFFBX,O,ATL,A. Pierzynski,D. Fister,1%,99%,Groundout: 2B-1B (2B-1B)
,,,,,,,,,0 runs 1 hit 0 errors 1 LOB. Braves 0 Nationals 6.,0 runs 1 hit 0 errors 1 LOB. Braves 0 Nationals 6.,0 runs 1 hit 0 errors 1 LOB. Braves 0 Nationals 6.
Bottom of the 6th Nationals Batting Ahead 6-0 Braves' David Aardsma facing 9-1-2,Bottom of the 6th Nationals Batting Ahead 6-0 Braves' David Aardsma facing 9-1-2,Bottom of the 6th Nationals Batting Ahead 6-0 Braves' David Aardsma facing 9-1-2,Bottom of the 6th Nationals Batting Ahead 6-0 Braves' David Aardsma facing 9-1-2,Bottom of the 6th Nationals Batting Ahead 6-0 Braves' David Aardsma facing 9-1-2,Bottom of the 6th Nationals Batting Ahead 6-0 Braves' David Aardsma facing 9-1-2,Bottom of the 6th Nationals Batting Ahead 6-0 Braves' David Aardsma facing 9-1-2,Bottom of the 6th Nationals Batting Ahead 6-0 Braves' David Aardsma facing 9-1-2,Bottom of the 6th Nationals Batting Ahead 6-0 Braves' David Aardsma facing 9-1-2,Bottom of the 6th Nationals Batting Ahead 6-0 Braves' David Aardsma facing 9-1-2,Bottom of the 6th Nationals Batting Ahead 6-0 Braves' David Aardsma facing 9-1-2,Bottom of the 6th Nationals Batting Ahead 6-0 Braves' David Aardsma facing 9-1-2
b6,6-0,0,---,3(0-2) CSX,O,WSN,D. Fister,D. Aardsma,-0%,99%,Groundout: 2B-1B (2B-1B)
b6,6-0,1,---,1(0-0) X,O,WSN,D. Span,D. Aardsma,-0%,99%,Lineout: CF (Deep LF-CF)
b6,6-0,2,---,4(1-2) BSSS,O,WSN,D. Espinosa,D. Aardsma,-0%,99%,Strikeout Swinging
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Braves 0 Nationals 6.,0 runs 0 hits 0 errors 0 LOB. Braves 0 Nationals 6.,0 runs 0 hits 0 errors 0 LOB. Braves 0 Nationals 6.
